Element,Category
charles_s._hartman,Democrat
vincent_j._dellay,Other
william_lemke,Other
lewis_d._campbell,Other
samuel_fenton_cary,Other
john_jarman,Other
wes_watkins,Other
eugene_atkinson,Other
james_m._beck,Republican
jorge_luis_córdova,Other
bill_archer,Republican
1992_united_states_presidential_election,Other
one_america_appeal,Other
allegations_of_barack_obama_spying_on_donald_trump,Other
obama–trump_voters,Other
second_chance:_three_presidents_and_the_crisis_of_american_superpower,Other
haitian_refugee_crisis,Other
january_1993_airstrikes_on_iraq,Other
megatons_to_megawatts_program,Other
midnight_basketball,Other
2000_united_states_presidential_election,Other
clinton_bush_haiti_fund,Other
2000s_energy_crisis,Other
2007–2008_financial_crisis,Other
bush_tax_cuts,Republican
democratic_response_to_the_2006_state_of_the_union_address,Democrat
duty:_memoirs_of_a_secretary_at_war,Other
michael_chertoff,Republican
robert_gates,Other
atf_gunwalking_scandal,Other
presidential_executive_orders_on_the_political_status_of_puerto_rico,Other
jonathan_adelstein,Other
luis_a._aguilar,Democrat
peter_allgeier,Other
william_g._allman,Other
shara_l._aranoff,Other
sheila_bair,Republican
cynthia_l._bauerly,Other
rand_beers,Democrat
lauro_cavazos,Democrat
rick_ahearn,Other
wayne_angell,Other
richard_c._breeden,Other
andrew_johnson's_drunk_vice-presidential_inaugural_address,Other
lincoln_bible,Other
gideon_welles,Republican
david_kellogg_cartter,Other
all_the_presidents'_heads,Other
great_lives,Other
the_greatest_american,Other
horrible_histories_(2015_tv_series),Other
the_political_machine_2008,Other
the_political_machine_2012,Other
the_political_machine_2016,Other
the_political_machine_2020,Other
boll_weevil_(Other),Democrat
muffie_cabot,Other
jeffrey_epstein,Other
ghislaine_maxwell,Other
battle_for_the_soul_of_the_nation_speech,Other
insane_clown_president,Other
robert_ray_(prosecutor),Other
ken_starr,Other
barack_obama_citizenship_conspiracy_theories,Democrat
basket_of_deplorables,Other
"michelle_obama's_october_13,_2016_speech",Democrat
chinaangvirus_disinformation_campaign,Other
u.s._federal_government_response_to_the_covid-19_pandemic,Other
department_of_defense_instruction_1300.28,Other
clinton_body_count_conspiracy_theory,Democrat
murder_of_seth_rich,Democrat
alexander_smirnov_(fbi_informant),Other
spygate_(conspiracy_theory),Other
trump_tower_wiretapping_allegations,Republican
michael_avenatti,Other
title_42_expulsion,Other
jack_biddle_(politician),Other
daniel_boman,Other
aundre_bumgardner,Other
kathy_ashe,Other
mike_braun,Republican
byron_g._allen,Other
denver_butler,Republican
hannibal_c._carter,Other
linda_black_(politician),Other
tom_alciere,Republican
dawn_addiego,Democrat
stephen_altamuro,Democrat
priscilla_b._anderson,Republican
francis_l._bodine,Republican
john_amari,Republican
dave_donley,Republican
jerry_mackie_(politician),Other
rooney_l._bowen,Republican
gary_anderson_(sport_shooter),Other
becky_harris,Other
george_t._cobb,Democrat
thomas_c._alexander,Republican
hugh_leatherman,Republican
daniel_hall_(west_virginia_politician),Republican
evan_jenkins_(politician),Republican
fred_dubois,Other
william_carey_jones,Other
henry_m._teller,Democrat
george_turner_(american_politician),Other
richard_shelby,Other
isaac_p._christiancy,Democrat
norm_coleman,Other
irving_w._drew,Democrat
john_p._hale,Other
gerald_nye,Republican
wayne_morse,Democrat
arlen_specter,Democrat
lincoln_chafee,Other
strom_thurmond,Other
jim_jeffords,Other
harrison_h._riddleberger,Democrat
joseph_m._carey,Republican
charles_bishop_(alabama_politician),Republican
bobby_bright,Other
tom_butler_(alabama_politician),Other
larry_dixon_(politician),Other
jeff_enfinger,Other
johnny_ford,Other
victor_gold_(journalist),Other
charles_graddick,Other
lindsey_holmes,Other
bruce_b._kendall,Other
ray_metcalfe,Democrat
carl_e._moses,Other
carlyle_begay,Other
ed_buck,Other
cesar_chavez_(perennial_candidate),Other
sterling_r._cockrill,Other
linda_collins,Other
richard_a._dawson,Other
william_hines_furbush,Republican
kim_hendren,Other
david_hillman_(politician),Other
mike_holcomb_(politician),Other
james_d._johnson,Other
lynn_lowe,Republican
joe_baca,Other
elias_m._ammons,Other
casimiro_barela,Other
edward_p._costigan,Other
eric_eidsness_(politician),Other
simeon_e._baldwin,Other
p._t._barnum,Other
sally_bolster,Other
ann_coulter,Other
john_c._atkins,Other
john_f._brady_(politician),Other
margaret_rose_henry,Other
ed_austin,Democrat
malcolm_e._beard,Other
irlo_bronson_jr.,Republican
james_l._bentley,Republican
iris_faircloth_blitch,Democrat
mike_bowers,Other
joseph_e._brown,Republican
phil_campbell_(agricultural_commissioner),Other
amy_carter_(politician),Other
mickey_channell,Other
bubber_epps,Other
d._g._anderson,Other
alan_arakawa,Democrat
karen_awana,Democrat
jim_clark_(offensive_lineman),Other
sarah_todd_cunningham,Republican
frank_fasi,Republican
beth_fukumoto,Democrat
virginia_isbell,Other
aaron_ling_johanson,Democrat
lafayette_cartee,Other
ovid_butler,Other
john_w._dawson,Other
nathaniel_b._baker,Other
david_c._cloud,Other
david_rorer,Other
george_greene_(judge),Other
lisa_benlon,Other
barbara_bollier,Other
stephanie_clayton,Other
frank_dale,Other
john_w._barr,Other
robert_worth_bingham,Other
kim_davis,Other
charles_i._dawson,Other
mary_louise_foust,Republican
lance_africk,Republican
john_alario,Republican
scott_angelle,Republican
taylor_barras,Republican
lottie_beebe,Other
v._j._bella,Republican
walter_boasso,Democrat
henry_lee_burns,Other
buddy_caldwell,Republican
lane_carson,Other
norby_chabert,Other
s._j._chadbourne,Other
dana_childs,Other
josiah_crosby_(maine_politician),Republican
josiah_hayden_drummond,Other
john_eder,Other
alonzo_garcelon,Democrat
john_quincy_adams_ii,Other
jake_auchincloss,Democrat
charles_sumner_bird,Republican
warren_l._bishop,Other
michael_bloomberg,Democrat
a._a._ames,Other
george_washington_batchelder,Other
charles_a._berg,Other
dick_borrell,Other
jennifer_carnahan,Republican
amos_coggswell,Other
judi_dutcher,Other
ron_erhardt_(politician),Other
donnie_bell,Republican
nickey_browning,Other
wayne_burkes,Other
videt_carmichael,Other
dale_danks,Other
walter_m._denny,Other
ralph_h._doxey,Other
tommy_gollott,Other
jane_hadley_barkley,Other
james_g._blair,Other
john_bohlinger,Other
john_driscoll_(montana_politician),Other
hal_harper,Other
bob_kelleher,Other
thomas_c._marshall,Other
brad_ashford,Democrat
susan_m._bazis,Other
terry_carpenter,Other
lucille_skaggs_edwards,Other
l._patrick_engel,Other
bruce_breslow,Republican
charles_henry_bryan,Other
bob_cashell,Republican
max_abramson,Republican
emile_beaulieu,Other
phoebe_a._chardon,Democrat
matthew_coker,Other
mark_connolly_(public_official),Democrat
theodore_j._cusson,Democrat
richard_j._daschbach,Republican
william_h._faucher,Democrat
asa_fowler,Other
betty_hall,Other
robin_bernstein,Other
horace_j._bryant,Other
samuel_beach_axtell,Republican
anderson_carter,Democrat
max_coll,Republican
rod_driver,Other
chuck_franco,Other
william_brisson,Other
larry_r._brown,Republican
marion_butler,Other
dixie_allen,Democrat
william_allen_(congressman),Other
franklin_thomas_backus,Other
timothy_black,Other
jacob_brinkerhoff,Republican
roeliff_brinkerhoff,Other
thad_h._brown,Republican
ed_crocker,Other
phil_ferguson,Other
uriah_f._abshier,Republican
mark_callahan,Republican
charles_a._cogswell,Republican
l._b._day,Republican
albert_h._densmore,Democrat
cheryl_lynn_allen,Republican
michael_late_benedum,Other
william_m._berlin,Other
james_black_(prohibitionist),Other
brendan_doherty,Republican
karen_macbeth,Republican
al_cannon,Republican
tom_ervin,Republican
kirkman_finlay_jr.,Other
jim_bradford_(politician),Republican
lora_hubbel,Republican
john_baxter_(judge),Other
grailey_berryhill,Other
hickman_ewing,Other
henry_s._foote,Democrat
meredith_attwell_baker,Other
james_duane_doty,Other
marriner_s._eccles,Other
bradley_barlow,Other
william_c._bradley,Other
fitzgerald_bemiss,Other
homer_bone,Other
george_f._cotterill,Democrat
jason_barrett_(west_virginia_politician),Republican
mick_bates_(west_virginia_politician),Other
peter_beter,Other
don_blankenship,Republican
james_h._brown_(judge),Other
jeff_campbell_(west_virginia_politician),Republican
marshall_cobun,Other
derrick_evans_(politician),Republican
ryan_ferns,Republican
rush_holt_sr.,Republican
brereton_c._jones,Democrat
jim_justice,Republican
sheridan_downey,Democrat
victor_garber_(politician),Other
william_c._irvine_(politician),Other
change_(film),Other
game_change,Other
sheffield_nelson,Republican
1996_united_states_presidential_election,Other
hart–dole–inouye_federal_center,Other
mcgovern-dole_international_food_for_education_and_child_nutrition_program,Other
2021_united_states_inauguration_week_protests,Other
tom_campbell_(north_dakota_politician),Republican
patrick_leahy,Democrat
mark_pryor,Democrat
presidential_transition_of_barack_obama,Democrat
confirmation_(film),Other
us-led_intervention_in_iraq_(2014–2021),Other
bipartisan_health_care_stabilization_act_of_2017,Other
cole_memorandum,Other
covid-19_pandemic_in_the_united_states,Other
paloma_adams-allen,Other
larry_andré_jr.,Other
david_j._apol,Other
luis_e._arreaga,Other
robin_ashton,Other
jeff_baran,Other
john_r._bass,Other
rostin_behnam,Other
donald_trump_vs._joe_biden_(epic_rap_battles_of_history),Other
america's_great_divide,Other
the_choice_2020,Other
impeachment:_an_american_history,Other
nine_black_robes,Other
the_plot_to_hack_america,Other
shade:_a_tale_of_two_presidents,Other
trump_card_(2020_film),Other
time_to_get_tough,Other
efforts_to_impeach_barack_obama,Other
red_states_and_blue_states,Other
